movie_id	title	rating	votes	gross	countries
2054881	Amadeus	8.4	212292	"$51,973,029 (USA)"	USA
2055320	Amateur	7.0	4114	"$856,422 (USA)"	USA
2055708	"Amazon Women on the Moon"	6.1	7685	"$548,696 (USA)"	USA
2056540	"America: Freedom to Fascism"	8.0	2195	"$87,400 (USA)"	USA
2056572	"American Anthem"	3.7	1083	"$4,845,724 (USA)"	USA
2056619	"American Beauty"	8.5	646945	"$130,096,601 (USA)"	USA
2056846	"American Dreamer"	6.7	1021	"$5,021,751 (USA)"	USA
2056939	"American Flyers"	6.3	4097	"$1,400,000 (USA)"	USA
2056955	"American Gangster"	7.8	283171	"$130,164,645 (USA)"	USA
2056965	"American Gigolo"	6.1	13528	"$23,000,000 (USA)"	USA
2057004	"American Graffiti"	7.5	55585	"$115,000,000 (USA)"	USA
2057032	"American Heart"	6.7	2146	"$384,048 (USA)"	USA
2057087	"American Hustle"	7.4	250854	"$150,117,807 (USA)"	USA
2057192	"American Me"	7.2	4939	"$13,086,430 (USA)"	USA
2057233	"American Ninja"	5.3	8501	"$10,499,694 (USA)"	USA
2057234	"American Ninja 2: The Confrontation"	4.5	4868	"$4,000,000 (USA)"	USA
2057235	"American Ninja 3: Blood Hunt"	3.2	3205	"$902,152 (USA)"	USA
2057236	"American Ninja 4: The Annihilation"	3.5	2890	"$358,047 (USA)"	USA
2057284	"American Pie"	7.0	269478	"$102,561,004 (USA)"	USA
2057294	"American Pimp"	6.6	1875	"$287,724 (USA)"	USA
2057301	"American Pop"	7.1	2579	"$6,000,000 (USA)"	USA
2057345	"American Reunion"	6.8	146849	"$57,011,521 (USA)"	USA
2057546	"American Wedding"	6.3	136192	"$104,565,114 (USA)"	USA
2057945	"Amityville 3-D"	3.9	3643	"$6,333,135 (USA)"	USA
2057948	"Amityville II: The Possession"	5.3	6425	"$12,534,817 (USA)"	USA
2058785	"Amos & Andrew"	5.5	6703	"$9,745,803 (USA)"	USA
2059359	"An Alan Smithee Film: Burn Hollywood Burn"	3.5	2836	"$45,779 (USA)"	USA
2059493	"An American in Paris"	7.3	17815	"$4,500,000 (USA)"	USA
2059545	"An American Tail"	6.9	31393	"$47,483,002 (USA)"	USA
2059546	"An American Tail: Fievel Goes West"	6.4	13484	"$22,166,041 (USA)"	USA
2059556	"An American Werewolf in London"	7.6	52099	"$30,565,292 (USA)"	USA
2060311	"An Eye for an Eye"	5.4	1992	"$7,680,000 (USA)"	USA
2060548	"An Innocent Man"	6.3	4025	"$20,047,604 (USA)"	USA
2060786	"An Officer and a Gentleman"	6.9	33137	"$129,795,552 (USA)"	USA
2061023	"An Unfinished Life"	7.1	20510	"$8,586,392 (USA)"	USA
2061333	Anaconda	4.6	61268	"$65,885,767 (USA)"	USA
2061342	"Anacondas: The Hunt for the Blood Orchid"	4.5	18637	"$32,238,923 (USA)"	USA
2062459	"Analyze This"	6.7	108543	"$106,885,658 (USA)"	USA
2062658	Anastasia	7.1	67356	"$58,406,347 (USA)"	USA
2062801	"Anatomy of a Murder"	8.1	37724	"$11,900,000 (USA)"	USA
2062984	"Anchorman 2: The Legend Continues"	6.5	88643	"$127,352,707 (USA)"	USA
2062988	"Anchorman: The Legend of Ron Burgundy"	7.3	213860	"$85,288,303 (USA)"	USA
2063132	"And God Created Woman"	4.2	1310	"$717,376 (USA)"	USA
2063725	Andre	5.6	4570	"$16,819,465 (USA)"	USA
2064622	Angel	5.5	1556	"$17,488,564 (USA)"	USA
2064748	"Angel Heart"	7.4	54096	"$17,185,632 (USA)"	USA
2065195	"Angels and Insects"	6.9	3526	"$5,304,000 (USA)"	USA
2065237	"Angels in the Outfield"	6.0	18298	"$50,236,831 (USA)"	USA
2065339	"Anger Management"	6.2	148476	"$135,645,823 (USA)"	USA
2065379	Angie	5.3	1663	"$9,398,308 (USA)"	USA
2065609	Angus	6.7	5228	"$4,821,759 (USA)"	USA
2066675	"Anna and the King"	6.7	28038	"$39,263,420 (USA)"	USA
2066694	"Anna Christie"	7.0	1736	"$1,013,000 (USA)"	USA
2066749	"Anna Karenina"	7.1	3278	"$865,000 (USA)"	USA
2067151	Annie	6.4	23472	"$57,059,003 (USA)"	USA
2067176	"Annie Get Your Gun"	7.1	2534	"$8,000,000 (USA)"	USA
2067543	Anonymous	6.9	30266	"$4,463,292 (USA)"	USA
2067592	"Another 48 Hrs."	5.7	24525	"$80,818,974 (USA)"	USA
2067886	"Another Stakeout"	5.4	9632	"$20,208,496 (USA)"	USA
2067928	"Another Woman"	7.4	7892	"$1,562,749 (USA)"	USA
2067950	"Another You"	5.2	2149	"$2,865,916 (USA)"	USA
2068918	Antz	6.6	104898	"$90,757,863 (USA)"	USA
2069100	"Any Given Sunday"	6.8	88014	"$75,530,832 (USA)"	USA
2069541	Apache	6.4	2411	"$6,000,000 (USA)"	USA
2070076	"Apocalypse Now"	8.5	357112	"$83,471,511 (USA)"	USA
2070180	"Apollo 13"	7.6	173870	"$173,837,933 (USA)"	USA
2070644	"Appointment with Death"	6.1	1773	"$960,040 (USA)"	USA
2070841	"April Fool's Day"	6.2	9016	"$12,947,763 (USA)"	USA
2071559	Arachnophobia	6.3	42874	"$53,133,888 (USA)"	USA
2072660	Argo	7.8	342361	"$136,025,503 (USA)"	USA
2072999	"Arizona Dream"	7.4	30138	"$106,658 (USA)"	USA
2073317	"Armed and Dangerous"	5.4	7345	"$15,945,534 (USA)"	USA
2073564	"Army of Darkness"	7.6	106676	"$11,502,976 (USA)"	USA
2073811	"Around the World in Eighty Days"	6.8	14445	"$42,000,000 (USA)"	USA
2074907	Arthur	6.9	19266	"$95,461,682 (USA)"	USA
2074912	Arthur	5.8	41175	"$33,035,397 (USA)"	USA
2074917	"Arthur 2: On the Rocks"	4.2	4544	"$14,681,192 (USA)"	USA
2074942	"Arthur Christmas"	7.1	28039	"$46,462,469 (USA)"	USA
2075073	"Article 99"	6.0	2247	"$6,375,979 (USA)"	USA
2075773	"As Good as It Gets"	7.8	200103	"$148,478,011 (USA)"	USA
2077717	"Aspen Extreme"	5.7	2071	"$8,041,049 (USA)"	USA
2078297	Assassination	5.0	1712	"$6,075,793 (USA)"	USA
2078317	Assassins	6.2	52429	"$30,306,268 (USA)"	USA
